txdate,storecode,tillid,tendercode,cashfloat,cashfloatbase,depositdr,depositdrbase,depositcr,depositcrbase,salesdr,salesdrbase,salescr,salescrbase,pettycash,pettycashbase,cashlift,cashliftbase,excessmoney
2010-01-01 00:00:00.000,11014,30,XD,0.00,0.00,0.00,0.00,0.00,0.00,25079.30,25079.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,29,DK,0.00,0.00,0.00,0.00,0.00,0.00,1608.00,1608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,35,AB,0.00,0.00,0.00,0.00,0.00,0.00,1496.00,1496.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,16,ST,0.00,0.00,0.00,0.00,0.00,0.00,1680.80,1680.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,05,AG,0.00,0.00,0.00,0.00,0.00,0.00,21692.00,21692.00,323.00,323.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,35,AG,0.00,0.00,0.00,0.00,0.00,0.00,10221.20,10221.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,16,XD,0.00,0.00,0.00,0.00,0.00,0.00,4250.60,4250.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,ST,0.00,0.00,0.00,0.00,0.00,0.00,1284.00,1284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,CH,0.00,0.00,0.00,0.00,0.00,0.00,9852.40,9852.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,XD,0.00,0.00,0.00,0.00,0.00,0.00,24821.50,24821.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,29,AG,0.00,0.00,0.00,0.00,0.00,0.00,8757.00,8757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,ST,0.00,0.00,0.00,0.00,0.00,0.00,4027.00,4027.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,DK,0.00,0.00,0.00,0.00,0.00,0.00,17656.50,17656.50,519.00,519.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,XD,0.00,0.00,0.00,0.00,0.00,0.00,60655.00,60655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,11,AG,0.00,0.00,0.00,0.00,0.00,0.00,2526.00,2526.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,ST,0.00,0.00,0.00,0.00,0.00,0.00,1970.80,1970.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,05,DK,0.00,0.00,0.00,0.00,0.00,0.00,2569.00,2569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
