category,desci,longdesc
280000,玩具(其他),NULL
300000,時尚坊,NULL
301100,彩妝系列,NULL
301200,護膚系列,NULL
302100,個人護理,NULL
302101,頭發夾,NULL
302102,沐浴夾,NULL
302200,配件類,NULL
303100,家居清潔用品,NULL
304100,男女內衣,NULL
304200,襪及中類,NULL
304300,配飾及飾物類,NULL
304400,童裝及嬰兒常服,NULL
304500,女裝常服,NULL
304600,男裝常服,NULL
305100,相簿/相集,NULL
305200,擺設,NULL
305300,卡/畫,NULL
305400,小飾品,NULL
305500,卡通人物用品,NULL
305600,座台/鍾燈,NULL
305700,杯/瓶,NULL
305800,其他精品,NULL
306100,學生文具,NULL
306200,小型辦公用品,NULL
306300,筆類,NULL
306400,手冊類,NULL
307100,煮食電器,NULL
307200,家居電器,NULL
307300,個人電器,NULL
307400,燈具,NULL
308100,煙,NULL
308200,酒,NULL
308300,方便食品,NULL
308400,小食品,NULL
308500,瓶干,NULL
308600,糖果,NULL
308700,飲料,NULL
308800,罐頭,NULL
310000,婚紗服飾及攝影,NULL
311000,婚紗,NULL
312000,晚禮服,NULL
313000,配飾,NULL
314000,攝影,NULL
320000,鍾表,NULL
321100,鬧鍾,NULL
321200,掛鍾,NULL
321300,座鍾,NULL
321400,台鍾,NULL
321500,裝飾鍾,NULL
322100,機械表,NULL
322101,腕表,NULL
322102,懷表,NULL
322200,電子表,NULL
322201,腕表,NULL
322202,計時表,NULL
322300,運動表,NULL
330000,美容及美發店,NULL
340000,護理用品,NULL
341000,個人護理,NULL
341100,頭發夾,NULL
341101,定型水,NULL
341102,摩絲,NULL
341103,鋦油膏,NULL
341104,洗發水,NULL
341105,護發素,NULL
341106,生發水,NULL
341107,染發劑,NULL
341200,沐浴類,NULL
341201,沐珠,NULL
341202,皂,NULL
341203,沐浴液,NULL
341204,嬰兒沐浴液,NULL
341300,護膚類,NULL
341301,洗面膏,NULL
341302,爽膚水,NULL
341303,護膚露,NULL
341304,潤唇膏,NULL
341305,防曬膏,NULL
341306,嬰兒護膚類,NULL
341400,護齒/足,NULL
341401,牙膏,NULL
341402,牙刷,NULL
341403,漱口水,NULL
341404,護足用品,NULL
341405,鞋墊,NULL
341406,牙線,NULL
341500,香熏類,NULL
341501,香體露,NULL
341502,香珠,NULL
341600,男仕用品,NULL
341601,剃須用品,NULL
341700,消毒及清潔用品,NULL
341701,消毒藥水,NULL
341702,藥布,NULL
341703,衛生紙,NULL
341704,衛生巾,NULL
341705,化妝棉,NULL
341706,棉花棒,NULL
341800,藥品及有關配件,NULL
342100,化妝配件,NULL
342101,粉撲,NULL
342102,磨石,NULL
342103,眉鉗,NULL
342104,指甲鉗,NULL
342105,吸油紙,NULL
342200,配飾,NULL
342201,化妝袋,NULL
342202,化妝鏡,NULL
342203,發夾,NULL
342204,頭飾,NULL
342300,其他小配件,NULL
342301,膠盒(旅行袋),NULL
350000,精品,NULL
351000,相簿/相架,NULL
352100,音樂盒,NULL
352200,首飾盒,NULL
352300,水晶/玻璃擺設,NULL
352400,干花擺設,NULL
352500,香精擺設,NULL
352600,藝術擺設,NULL
352700,燭台擺設,NULL
352800,其他擺設,NULL
353100,生日卡,NULL
353200,賀卡,NULL
353300,聖誕卡,NULL
353400,畫,NULL
353500,其他卡/畫,NULL
354000,飾品,NULL
354100,匙扣,NULL
354200,其他飾品,NULL
355000,卡通人物用品,NULL
