season,desci,longdesc,nwseason
B54910,WALKER SHOP(奧卡索),NULL,B54910
B54940,FORNET(福奈特),NULL,B54940
B54980,MIJI(米技),NULL,B54980
B55350,LILY,NULL,B55350
B55710,CHICCO(智高),NULL,B55710
B56490,DESHIFENG(德士風),NULL,B56490
B56780,TUPPERWARE(特百惠),NULL,B56780
B60410,VERSAI(維莎),NULL,B60410
B60440,XTEP(特步),NULL,B60440
B60830,ISYFEN(伊絲芬),NULL,B60830
B60990,CELE(策樂),NULL,B60990
B61080,OCHIRLY(歐時力),NULL,B61080
B61770,KUUKI(高琪),NULL,B61770
B62250,HANG TEN,NULL,B62250
B62320,ENZO,NULL,B62320
B62780,OMIGER(歐麥格),NULL,B62780
B62860,LA WARMER,LAWARMER,B62860
B62920,LUIS VIGIN,NULL,B62920
B63500,NAIER(耐爾),NULL,B63500
B64760,皮爾卡丹,NULL,B64760
B67980,PRECIS(安瑪莉),NULL,B67980
B68640,LOZIO(羅茜奧),NULL,B68640
B68910,YIGUE(亦谷),NULL,B68910
B69100,FRIENDSCO(法都),NULL,B69100
B69410,TEXWOOD(蘋果),NULL,B69410
B69630,植物醫生 LOTIONSPA,NULL,B69630
B70170,MARK FAIRWHALE(馬克.,NULL,B70170
B70580,ARROW(箭),NULL,B70580
B71800,CAMELA,CAMELA,B71800
B72210,CTF2,CTF2,B72210
B74300,H2O+水芝澳,NULL,B74300
B74420,SCOFIELD(斯克菲爾德),NULL,B74420
B75030,JOE/ONE(九牧王),NULL,B75030
B75210,EBASE(衣本色),NULL,B75210
B77820,STARBUCKS(星巴克),NULL,B77820
B79330,周生生,NULL,B79330
B81780,ZORANZI(莊子),NULL,B81780
B83130,JEEP,NULL,B83130
B83280,HONRN(紅人),NULL,B83280
B84450,YULU(昱璐),NULL,B84450
B84540,MARIA(瑪莉亞),NULL,B84540
B85080,PUCCA,NULL,B85080
B85240,波特,NULL,B85240
B86170,恆昌,NULL,B86170
B86200,TOREAD(探路者),NULL,B86200
B87940,SHOW LONG(舒朗),NULL,B87940
B88650,MEIYI(美伊),NULL,B88650
B90840,柒,NULL,B90840
B90870,旺樂高,NULL,B90870
B91140,AILINGJIE(愛玲捷),NULL,B91140
B92460,BATA,NULL,B92460
B93250,LUCKY BABY(拉比),NULL,B93250
B93380,ZOKE(洲克),NULL,B93380
B94210,BAFFN(芭芬),NULL,B94210
B94570,SAFIYA(索菲婭),NULL,B94570
B94590,MIGAINO(曼婭奴),NULL,B94590
B94820,INNOTEL(伊耐兒),NULL,B94820
B94830,NIKE360°,NULL,B94830
B95090,DOOLRS(多奧),NULL,B95090
B95360,LAVINIA CLUB(拉維妮,NULL,B95360
B95440,RIME(韻魅),NULL,B95440
B95480,HAOXING(豪行),NULL,B95480
B95590,昊騰(HAOTENG),NULL,B95590
B95610,LANEIGE(蘭芝),NULL,B95610
B95620,HERBORIST(佰草集),NULL,B95620
B95770,LAIPOSE(黎姿),NULL,B95770
B96030,KOLUMB(哥侖步),NULL,B96030
